"Year:","Labor Force Employed ","Capital Stock ($ mill.)","Col. 1 x Col. 2","Share Property of Income","Priv. nonfarm GNP per manhour","Change A/A","A(t)","Employed Captial Per Hour"
"1909","91.1","146,142","133135","0.335","0.623","-0.017","1","2.06"
"1910","92.8","150,038","139235","0.33","0.616","0.039","0.983","2.1"
"1911","90.6","156,335","141640","0.335","0.647","0.002","1.021","2.17"
"1912","93","159,971","148773","0.33","0.652","0.04","1.023","2.21"
"1913","91.8","164,504","151015","0.334","0.68","0.007","1.064","2.23"
"1914","83.6","171,513","143385","0.325","0.682","-0.028","1.071","2.2"
"1915","84.5","175,371","148188","0.344","0.669","0.034","1.041","2.26"
"1916","93.7","178,351","167115","0.358","0.7","-0.01","1.076","2.34"
"1917","94","182,263","171327","0.37","0.679","0.072","1.065","2.21"
"1918","94.5","186,679","176412","0.342","0.729","0.013","1.142","2.22"
"1919","93.1","189,977","176869","0.354","0.767","-0.076","1.157","2.47"
"1920","92.8","194,802","180776","0.319","0.721","0.072","1.069","2.58"
"1921","76.9","201,491","154947","0.369","0.77","0.032","1.146","2.55"
"1922","81.7","204,324","166933","0.339","0.788","0.011","1.183","2.49"
"1923","92.1","209,964","193377","0.337","0.809","0.016","1.196","2.61"
"1924","88","222,113","195460","0.33","0.836","0.032","1.215","2.74"
"1925","91.1","231,772","211198","0.336","0.872","-0.01","1.254","2.81"
"1926","92.5","244,611","226266","0.327","0.869","-0.005","1.241","2.87"
"1927","90","259,142","233228","0.323","0.871","-0.007","1.235","2.93"
"1928","90","271,089","243980","0.338","0.874","0.02","1.226","3.02"
"1929","92.5","279,691","258714","0.332","0.895","-0.043","1.251","3.06"
"1930","88.1","289,291","254865","0.347","0.88","0.024","1.197","3.3"
"1931","78.2","289,056","226042","0.325","0.904","0.023","1.226","3.33"
"1932","67.9","282,731","191974","0.397","0.879","0.011","1.198","3.28"
"1933","66.5","270,676","180000","0.362","0.869","0.072","1.211","3.1"
"1934","70.9","262,370","186020","0.355","0.921","0.039","1.298","3"
"1935","73","257,810","188201","0.351","0.943","0.059","1.349","2.87"
"1936","77.3","254,875","197018","0.357","0.982","-0.01","1.429","2.72"
"1937","81","257,076","208232","0.34","0.971","0.021","1.415","2.71"
"1938","74.7","259,789","194062","0.331","1","0.048","1.445","2.78"
"1939","77.2","257,314","198646","0.347","1.034","0.05","1.514","2.66"
"1940","80.6","258,048","207987","0.357","1.082","0.044","1.59","2.63"
"1941","86.8","262,940","228232","0.377","1.122","0.003","1.66","2.58"
"1942","93.6","270,063","252779","0.356","1.136","0.016","1.665","2.64"
"1943","97.4","269,761","262747","0.342","1.18","0.071","1.692","2.62"
"1944","98.4","265,483","261235","0.332","1.265","0.021","1.812","2.63"
"1945","96.5","261,472","252320","0.314","1.296","-0.044","1.85","2.66"
"1946","94.8","258,051","244632","0.312","1.215","-0.017","1.769","2.5"
"1947","95.4","268,845","265478","0.327","1.194","0.116","1.739","2.5"
"1948","95.7","276,476","264588","0.332","1.221","0.024","1.767","2.55"
"1949","93","289,360","269105","0.326","1.275","NAN","1.809","2.7"
"","","","","","","","",""
